Year,Region,State / County Name,All Ages in Poverty Count,All Ages in Poverty Percent,Median Household Income in Dollars
2012,Northwest,Gulf County (FL),2974,24.4,34940
2011,Northwest,Gulf County (FL),2859,23.2,37373
2010,Northwest,Gulf County (FL),2604,21.1,39403
2009,Northwest,Gulf County (FL),2781,23,35656
2008,Northwest,Gulf County (FL),2590,21.2,38632
2007,Northwest,Gulf County (FL),2054,16.7,38160
2006,Northwest,Gulf County (FL),2376,19.2,36278
2005,Northwest,Gulf County (FL),2147,17.6,34823
2004,Northwest,Gulf County (FL),1777,14.5,32893
2003,Northwest,Gulf County (FL),1894,15.5,31543
2002,Northwest,Gulf County (FL),2287,18.9,29618
2001,Northwest,Gulf County (FL),2439,20.5,29246
2000,Northwest,Gulf County (FL),2219,18.6,30014
1999,Northwest,Gulf County (FL),1973,16.5,29058
1998,Northwest,Gulf County (FL),2194,18.1,29147
1997,Northwest,Gulf County (FL),2402,19.8,28605
1996,Northwest,Gulf County (FL),0,0,0
1995,Northwest,Gulf County (FL),2295,18.5,28458
1993,Northwest,Gulf County (FL),2286,19.3,24336
1989,Northwest,Gulf County (FL),1963,17.5,21414
2017,Northeast,Hamilton County (FL),2791,24,35262
2016,Northeast,Hamilton County (FL),3363,28.9,34517
2015,Northeast,Hamilton County (FL),3685,31.8,33497
2014,Northeast,Hamilton County (FL),3653,31.7,31734
2013,Northeast,Hamilton County (FL),3386,29.2,33836
2012,Northeast,Hamilton County (FL),3377,28.9,32232
2011,Northeast,Hamilton County (FL),3693,31.9,29482
2010,Northeast,Hamilton County (FL),3588,30.8,31820
2009,Northeast,Hamilton County (FL),3280,28.5,31038
2008,Northeast,Hamilton County (FL),3302,29.3,32444
2007,Northeast,Hamilton County (FL),3100,27.7,30971
2006,Northeast,Hamilton County (FL),2701,24.3,30399
2005,Northeast,Hamilton County (FL),2899,26.6,28301
2004,Northeast,Hamilton County (FL),2295,20.9,26411
2003,Northeast,Hamilton County (FL),2447,22,25201
2002,Northeast,Hamilton County (FL),2764,25.3,24031
2001,Northeast,Hamilton County (FL),2831,26.2,24691
2000,Northeast,Hamilton County (FL),2637,24.2,26032
1999,Northeast,Hamilton County (FL),2432,22.4,25117
1998,Northeast,Hamilton County (FL),2759,24.5,24610
1997,Northeast,Hamilton County (FL),2932,26.2,24174
1996,Northeast,Hamilton County (FL),0,0,0
1995,Northeast,Hamilton County (FL),2845,25.8,22719
1993,Northeast,Hamilton County (FL),2564,24.3,20859
1989,Northeast,Hamilton County (FL),2246,22.6,18439
2017,Central,Hardee County (FL),6026,23.3,40056
2016,Central,Hardee County (FL),6081,23.8,37612
2015,Central,Hardee County (FL),6636,25.9,35850
2014,Central,Hardee County (FL),7642,29.9,35371
2013,Central,Hardee County (FL),7368,28.8,34884
2012,Central,Hardee County (FL),7214,28.2,34012
2011,Central,Hardee County (FL),8269,31.8,33058
2010,Central,Hardee County (FL),7856,30.3,33732
2009,Central,Hardee County (FL),7720,28.4,33728
2008,Central,Hardee County (FL),6161,23.1,34385
2007,Central,Hardee County (FL),6403,24,36590
2006,Central,Hardee County (FL),5870,22,33034
2005,Central,Hardee County (FL),6341,24.6,31989
2004,Central,Hardee County (FL),5122,19.5,28669
2003,Central,Hardee County (FL),5398,20.7,27851
2002,Central,Hardee County (FL),5976,23.2,28004
2001,Central,Hardee County (FL),6056,23.6,28525
2000,Central,Hardee County (FL),5636,22.2,29693
1999,Central,Hardee County (FL),5499,21.6,27897
1998,Central,Hardee County (FL),5251,26.7,27007
1997,Central,Hardee County (FL),5495,27.8,25482
1996,Central,Hardee County (FL),0,0,0
1995,Central,Hardee County (FL),5991,29.1,23008
1993,Central,Hardee County (FL),5557,27,21182
1989,Central,Hardee County (FL),4722,24.1,19064
2017,Southwest,Hendry County (FL),9525,23.9,38361
2016,Southwest,Hendry County (FL),9712,25.1,39911
2015,Southwest,Hendry County (FL),9945,25.8,39320
2014,Southwest,Hendry County (FL),9581,25.3,38494
2013,Southwest,Hendry County (FL),9249,25.1,37085
2012,Southwest,Hendry County (FL),9835,26.9,36515
2011,Southwest,Hendry County (FL),11037,29.6,35247
2010,Southwest,Hendry County (FL),9963,26.7,37220
2009,Southwest,Hendry County (FL),8540,22.6,35858
2008,Southwest,Hendry County (FL),8984,23.8,38771
2007,Southwest,Hendry County (FL),7609,20,38270
2006,Southwest,Hendry County (FL),8811,22.7,35235
2005,Southwest,Hendry County (FL),8164,22.2,36211
2004,Southwest,Hendry County (FL),6374,16.7,32197
2003,Southwest,Hendry County (FL),6733,18.1,31292
2002,Southwest,Hendry County (FL),6771,18.7,31665
2001,Southwest,Hendry County (FL),7136,20.1,32137
2000,Southwest,Hendry County (FL),6832,19.5,33012
1999,Southwest,Hendry County (FL),6849,19.8,31104
1998,Southwest,Hendry County (FL),6428,22.1,29775
1997,Southwest,Hendry County (FL),6599,22.8,28325
1996,Southwest,Hendry County (FL),0,0,0
1995,Southwest,Hendry County (FL),7337,23.9,26940
1993,Southwest,Hendry County (FL),6655,22.9,25113
1989,Southwest,Hendry County (FL),4960,19.4,22470
2017,West,Hernando County (FL),25773,14,44710
2016,West,Hernando County (FL),27794,15.4,46225
2015,West,Hernando County (FL),25217,14.3,43103
2014,West,Hernando County (FL),26629,15.3,40094
2013,West,Hernando County (FL),26818,15.6,39280
2012,West,Hernando County (FL),31705,18.5,37093
2011,West,Hernando County (FL),28402,16.6,40411
2010,West,Hernando County (FL),25728,15.1,37867
2009,West,Hernando County (FL),22153,13.1,40352
2008,West,Hernando County (FL),21034,12.4,39552
2007,West,Hernando County (FL),14821,8.9,43208
2006,West,Hernando County (FL),19633,12,39840
2005,West,Hernando County (FL),18410,11.8,37672
2004,West,Hernando County (FL),16671,10.6,35577
2003,West,Hernando County (FL),17946,12.1,33874
2002,West,Hernando County (FL),17511,12.3,32247
2001,West,Hernando County (FL),16667,12.2,31882
2000,West,Hernando County (FL),14450,10.9,32963
1999,West,Hernando County (FL),14409,11.1,31102
1998,West,Hernando County (FL),16219,12.6,29118
1997,West,Hernando County (FL),17512,13.8,27740
1996,West,Hernando County (FL),0,0,0
1995,West,Hernando County (FL),17597,14.3,27532
1993,West,Hernando County (FL),16347,13.9,23201
1989,West,Hernando County (FL),10859,10.7,19843
2017,Central,Highlands County (FL),20051,19.8,37445
2016,Central,Highlands County (FL),19035,19.1,36864
2015,Central,Highlands County (FL),22419,22.9,34691
2014,Central,Highlands County (FL),18898,19.5,35787
2013,Central,Highlands County (FL),19322,20.1,34054
2012,Central,Highlands County (FL),21275,22,34722
2011,Central,Highlands County (FL),18282,18.8,33692
2010,Central,Highlands County (FL),20137,20.7,34469
2009,Central,Highlands County (FL),19374,19.9,33401
2008,Central,Highlands County (FL),16494,16.7,33703
2007,Central,Highlands County (FL),17039,17.4,34098
2006,Central,Highlands County (FL),13911,14.4,33242
2005,Central,Highlands County (FL),15519,16.6,31104
2004,Central,Highlands County (FL),12355,13.1,30343
2003,Central,Highlands County (FL),12832,14,29421
2002,Central,Highlands County (FL),13243,14.7,28718
2001,Central,Highlands County (FL),13466,15.2,28738
2000,Central,Highlands County (FL),12338,14.2,29864
1999,Central,Highlands County (FL),12289,14.2,28630
1998,Central,Highlands County (FL),12215,16.4,27177
1997,Central,Highlands County (FL),12305,16.4,26006
1996,Central,Highlands County (FL),0,0,0
1995,Central,Highlands County (FL),12794,16.8,24403
1993,Central,Highlands County (FL),12499,16.9,21592
1989,Central,Highlands County (FL),9617,14,18854
2017,West,Hillsborough County (FL),214442,15.5,54741
2016,West,Hillsborough County (FL),203350,15,54509
2015,West,Hillsborough County (FL),209040,15.8,51710
2014,West,Hillsborough County (FL),217968,16.8,50758
2013,West,Hillsborough County (FL),213320,16.8,49510
2012,West,Hillsborough County (FL),240099,19.1,46534
2011,West,Hillsborough County (FL),219950,17.6,46592
2010,West,Hillsborough County (FL),202827,16.7,46043
2009,West,Hillsborough County (FL),178302,15.2,47129
2008,West,Hillsborough County (FL),161731,13.9,49762
2007,West,Hillsborough County (FL),133550,11.6,50485
2006,West,Hillsborough County (FL),145657,12.8,46751
2005,West,Hillsborough County (FL),143735,13,45084
2004,West,Hillsborough County (FL),132075,11.8,44850
2003,West,Hillsborough County (FL),141405,13,43304
2002,West,Hillsborough County (FL),132089,12.5,42407
2001,West,Hillsborough County (FL),125199,12.1,40922
2000,West,Hillsborough County (FL),117305,11.6,40987
1999,West,Hillsborough County (FL),124286,12.6,38639
1998,West,Hillsborough County (FL),134018,14.3,37362
1997,West,Hillsborough County (FL),139088,15,35994
1996,West,Hillsborough County (FL),0,0,0
1995,West,Hillsborough County (FL),147856,16.5,32650
1993,West,Hillsborough County (FL),148539,17,30354
1989,West,Hillsborough County (FL),109958,13.2,27575
2017,Northwest,Holmes County (FL),3756,21.2,40657
2016,Northwest,Holmes County (FL),4276,24.2,41110
2015,Northwest,Holmes County (FL),4535,25.9,35202
2014,Northwest,Holmes County (FL),4743,26.7,35651
2013,Northwest,Holmes County (FL),4903,27.5,33220
2012,Northwest,Holmes County (FL),4106,22.9,36272
2011,Northwest,Holmes County (FL),4722,26.1,33211
2010,Northwest,Holmes County (FL),4072,22.5,33696
2009,Northwest,Holmes County (FL),4115,24,31861
2008,Northwest,Holmes County (FL),3678,21,33251
2007,Northwest,Holmes County (FL),3452,19.8,33321
2006,Northwest,Holmes County (FL),3656,20.9,30794
2005,Northwest,Holmes County (FL),3815,21.9,30778
2004,Northwest,Holmes County (FL),3078,17.6,28694
2003,Northwest,Holmes County (FL),3215,18.7,27773
2002,Northwest,Holmes County (FL),3513,20.5,27080
2001,Northwest,Holmes County (FL),3636,21.4,26950
2000,Northwest,Holmes County (FL),3480,20.6,27831
1999,Northwest,Holmes County (FL),3537,20.9,26781
1998,Northwest,Holmes County (FL),4210,23.9,24687
1997,Northwest,Holmes County (FL),4328,24.7,23416
1996,Northwest,Holmes County (FL),0,0,0
1995,Northwest,Holmes County (FL),4389,25.9,22470
1993,Northwest,Holmes County (FL),3977,24.6,20017
1989,Northwest,Holmes County (FL),3863,25.6,16538
2017,Southeast,Indian River County (FL),16249,10.6,51797
2016,Southeast,Indian River County (FL),18518,12.3,49813
2015,Southeast,Indian River County (FL),19051,13,49887
2014,Southeast,Indian River County (FL),21098,14.7,47548
2013,Southeast,Indian River County (FL),19777,14.1,44326
2012,Southeast,Indian River County (FL),22347,16.1,42638
2011,Southeast,Indian River County (FL),19006,13.9,42053
2010,Southeast,Indian River County (FL),19657,14.4,47525
2009,Southeast,Indian River County (FL),18406,13.8,43685
2008,Southeast,Indian River County (FL),16101,12.4,48267
2007,Southeast,Indian River County (FL),12603,9.7,47563
2006,Southeast,Indian River County (FL),13428,10.5,45034
2005,Southeast,Indian River County (FL),14712,11.7,44450
2004,Southeast,Indian River County (FL),11660,9.2,41522
2003,Southeast,Indian River County (FL),12276,10,40356
2002,Southeast,Indian River County (FL),11851,10,39615
2001,Southeast,Indian River County (FL),11906,10.3,39359
2000,Southeast,Indian River County (FL),10723,9.4,40063
1999,Southeast,Indian River County (FL),11116,10,37947
1998,Southeast,Indian River County (FL),11263,11.3,37398
1997,Southeast,Indian River County (FL),11106,11.2,35895
1996,Southeast,Indian River County (FL),0,0,0
1995,Southeast,Indian River County (FL),10701,11,33667
1993,Southeast,Indian River County (FL),10960,11.5,29580
1989,Southeast,Indian River County (FL),7600,8.4,26974
2017,Northwest,Jackson County (FL),7264,18,41524
2016,Northwest,Jackson County (FL),9045,22.6,37358
2015,Northwest,Jackson County (FL),9032,22.5,36751
2014,Northwest,Jackson County (FL),9787,24.3,36876
2013,Northwest,Jackson County (FL),10650,26.3,36332
2012,Northwest,Jackson County (FL),8680,21.4,34978
2011,Northwest,Jackson County (FL),8442,20.5,35193
2010,Northwest,Jackson County (FL),7910,19,37351
2009,Northwest,Jackson County (FL),9412,22,35968
2008,Northwest,Jackson County (FL),8114,19,37707
2007,Northwest,Jackson County (FL),11646,27.3,35897
2006,Northwest,Jackson County (FL),8114,19.1,32879
2005,Northwest,Jackson County (FL),7045,16.9,32723
2004,Northwest,Jackson County (FL),6647,15.7,31022
2003,Northwest,Jackson County (FL),6729,16.2,29951
2002,Northwest,Jackson County (FL),6956,17,28947
2001,Northwest,Jackson County (FL),7291,17.9,28694
2000,Northwest,Jackson County (FL),6989,17.1,29700
1999,Northwest,Jackson County (FL),6862,16.7,28369
1998,Northwest,Jackson County (FL),7650,18.9,26963
1997,Northwest,Jackson County (FL),8439,20.8,25953
1996,Northwest,Jackson County (FL),0,0,0
1995,Northwest,Jackson County (FL),8521,21,24661
1993,Northwest,Jackson County (FL),8324,20.9,22602
1989,Northwest,Jackson County (FL),7809,20.3,19014
2017,Northwest,Jefferson County (FL),2276,17.7,48163
2016,Northwest,Jefferson County (FL),2398,18.9,43453
2015,Northwest,Jefferson County (FL),2479,19.4,42210
2014,Northwest,Jefferson County (FL),2285,18,40205
2013,Northwest,Jefferson County (FL),2521,19.6,39494
2012,Northwest,Jefferson County (FL),2775,21.3,38244
2011,Northwest,Jefferson County (FL),2481,18.7,40252
2010,Northwest,Jefferson County (FL),2481,18.5,39113
2009,Northwest,Jefferson County (FL),2411,19.1,38193
2008,Northwest,Jefferson County (FL),2338,18.5,36482
2007,Northwest,Jefferson County (FL),2228,17.8,40217
2006,Northwest,Jefferson County (FL),2310,18.1,39018
2005,Northwest,Jefferson County (FL),2329,18.7,35349
2004,Northwest,Jefferson County (FL),1821,14.5,33962
2003,Northwest,Jefferson County (FL),2051,16.3,32742
2002,Northwest,Jefferson County (FL),2090,16.8,32156
2001,Northwest,Jefferson County (FL),2159,17.7,32250
2000,Northwest,Jefferson County (FL),2095,17.7,32924
1999,Northwest,Jefferson County (FL),2113,17.7,31194
1998,Northwest,Jefferson County (FL),2479,20.3,29604
1997,Northwest,Jefferson County (FL),2710,22,27788
1996,Northwest,Jefferson County (FL),0,0,0
1995,Northwest,Jefferson County (FL),2777,22.3,26515
1993,Northwest,Jefferson County (FL),2726,22.9,22948
1989,Northwest,Jefferson County (FL),2560,22.7,17433
2017,Northeast,Lafayette County (FL),1579,22.7,41549
2016,Northeast,Lafayette County (FL),1609,23.3,40653
2015,Northeast,Lafayette County (FL),1645,23.8,40345
2014,Northeast,Lafayette County (FL),1791,25.6,38071
2013,Northeast,Lafayette County (FL),1774,25.2,37120
2012,Northeast,Lafayette County (FL),1838,26.4,34054
2011,Northeast,Lafayette County (FL),1622,23.8,40407
2010,Northeast,Lafayette County (FL),1761,26,36001
2009,Northeast,Lafayette County (FL),1526,24.6,35689
2008,Northeast,Lafayette County (FL),1575,25.6,39293
2007,Northeast,Lafayette County (FL),1350,22,36855
2006,Northeast,Lafayette County (FL),1391,22.3,33234
2005,Northeast,Lafayette County (FL),1433,23.6,31038
2004,Northeast,Lafayette County (FL),1139,18.6,27896
2003,Northeast,Lafayette County (FL),1134,19,27177
2002,Northeast,Lafayette County (FL),1390,23.3,27533
2001,Northeast,Lafayette County (FL),1406,23.5,28723
2000,Northeast,Lafayette County (FL),1217,20.6,30008
1999,Northeast,Lafayette County (FL),978,17,29338
1998,Northeast,Lafayette County (FL),1084,20.3,29621
1997,Northeast,Lafayette County (FL),1251,24.1,27354
1996,Northeast,Lafayette County (FL),0,0,0
1995,Northeast,Lafayette County (FL),1301,24.7,24505
1993,Northeast,Lafayette County (FL),1187,22.8,23159
1989,Northeast,Lafayette County (FL),1017,20.9,18709
2017,Central,Lake County (FL),43020,12.6,51429
2016,Central,Lake County (FL),39212,11.8,50125
2015,Central,Lake County (FL),41272,12.8,49711
2014,Central,Lake County (FL),42954,13.8,46895
2013,Central,Lake County (FL),43917,14.5,44244
2012,Central,Lake County (FL),46642,15.6,41579
2011,Central,Lake County (FL),41287,13.9,44965
2010,Central,Lake County (FL),39711,13.5,42343
2009,Central,Lake County (FL),38764,12.6,42479
2008,Central,Lake County (FL),31061,10.3,45517
2007,Central,Lake County (FL),26695,9,46557
2006,Central,Lake County (FL),29285,10.2,42194
2005,Central,Lake County (FL),30960,11.4,40059
2004,Central,Lake County (FL),25864,9.5,40745
2003,Central,Lake County (FL),26308,10.2,39040
2002,Central,Lake County (FL),26108,10.8,37398
2001,Central,Lake County (FL),25375,11,36585
2000,Central,Lake County (FL),22852,10.4,37354
1999,Central,Lake County (FL),22456,10.8,35170
1998,Central,Lake County (FL),24668,11.8,32898
1997,Central,Lake County (FL),25887,12.8,30768
1996,Central,Lake County (FL),0,0,0
1995,Central,Lake County (FL),25539,13.5,28327
1993,Central,Lake County (FL),24565,14.1,24883
1989,Central,Lake County (FL),18911,12.4,20682
2017,Southwest,Lee County (FL),85844,11.8,54198
2016,Southwest,Lee County (FL),91333,12.8,52989
2015,Southwest,Lee County (FL),110398,15.9,50713
2014,Southwest,Lee County (FL),107493,16,49147
2013,Southwest,Lee County (FL),106446,16.3,46605
2012,Southwest,Lee County (FL),97598,15.3,46396
2011,Southwest,Lee County (FL),95422,15.3,45515
2010,Southwest,Lee County (FL),104752,17.1,44377
2009,Southwest,Lee County (FL),74380,12.8,45624
